help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Bnin_poznańskie;Bnin;poznańskie;urząd stanu cywilnego;;1874-1939;53/1828/0;7482;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/16932#;52.2315204;17.0958465;Wielkopolskie;1
Bobolice_wałbrzyskie;Bobolice;wałbrzyskie;urząd stanu cywilnego;;1874-1938;82/1693/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90300#;50.6227916;16.8583632;Dolnośląskie;1
Boboluszki_opolskie;Boboluszki;opolskie;urząd stanu cywilnego;;1874-1944;45/793/0;4558;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45285#;50.023891;17.795857;Opolskie;1
Boboszów_wałbrzyskie;Boboszów;wałbrzyskie;urząd stanu cywilnego;;1876-1938;82/1514/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90121#;50.107257;16.6956357;Dolnośląskie;1
Bobrówko_gorzowskie;Bobrówko;gorzowskie;urząd stanu cywilnego;;1941-1944;66/1201/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/170038#;52.9530694;15.4529089;Kujawsko-Pomorskie,  Wielkopolskie;1
Bobrowniki_zielonogórskie;Bobrowniki;zielonogórskie;urząd stanu cywilnego;;1882-1938;89/206/0;3043;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63292#;51.8643953;15.7323175;Lubelskie;0
Bobrowo_toruńskie;Bobrowo;toruńskie;urząd stanu cywilnego;;1874-1933 [1987, 1996];69/1106/0;2652;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103360#;53.289117;19.2733496;Lubuskie, Zachodniopomorskie;1
Boczów_zielonogórskie;Boczów;zielonogórskie;urząd stanu cywilnego;;1874-1880;66/489/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35937#;52.32158;14.93999;Lubuskie,  Dolnośląskie;1
Boczów_zielonogórskie;Boczów;zielonogórskie;urząd stanu cywilnego;;1946-1954;89/2974/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/170066#;52.32158;14.93999;Lubuskie,  Dolnośląskie;1
Boczów_zielonogórskie;Boczów;zielonogórskie;urząd stanu cywilnego;;1883-1935;89/711/0;158;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63895#;52.32158;14.93999;Lubuskie,  Dolnośląskie;1
Bodzanów_opolskie;Bodzanów;opolskie;urząd stanu cywilnego;;1955-1959;45/3843/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/162744#;50.3366022;17.3839717;Mazowieckie;0
Bodzanów_opolskie;Bodzanów;opolskie;urząd stanu cywilnego;;1874-1939, 1942;45/962/0;4803;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45453#;50.3366022;17.3839717;Opolskie;1
Bodzęcin_szczecińskie;Bodzęcin;szczecińskie;urząd stanu cywilnego;;1874-1936;65/598/0;1987;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69031#;53.63787;14.92853;Świętokrzyskie, Mazowieckie,  Łódzkie;0
Bogacica_opolskie;Bogacica;opolskie;urząd stanu cywilnego;;[1843] 1874-1943 [2020];45/973/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45464#;50.9679707;18.1360435;Opolskie;1
Bogaczów_zielonogórskie;Bogaczów;zielonogórskie;urząd stanu cywilnego;;1874-1938;89/308/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63394#;51.8495976;15.2604072;Lubuskie,  Dolnośląskie;1
Bogatynia_jeleniogórskie;Bogatynia;jeleniogórskie;urząd stanu cywilnego;;1876 - 1943;86/192/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/84454#;50.9077147;14.9539185;Dolnośląskie;1
Bogdanki_toruńskie;Bogdanki;toruńskie;urząd stanu cywilnego;;1874-1935;69/1107/0;6253;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103361#;53.4925011;19.0889787;Kujawsko-Pomorskie;1
